"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","test_part","xClicked","yClicked","responseInd","nameID"
"[{""page_index"":0,""viewing_time"":2181}]","2181","instructions","0","2181","0.0-0.0","","","","","","",""
"","null","html-keyboard-response","1","3183","0.0-1.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6936","name-keyboard-response","2","10132","0.0-1.0-1.0","1","","Probe","1039","633","6","133"
"","null","html-keyboard-response","3","11133","0.0-1.0-0.1","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","13322","name-keyboard-response","4","24471","0.0-1.0-1.1","2","","Probe","1053","531","5","169"
"[{""page_index"":0,""viewing_time"":1233}]","1233","instructions","5","25704","0.0-2.0","","","","","","",""
"","null","html-keyboard-response","6","26706","0.0-3.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3430","name-keyboard-response","7","30143","0.0-3.0-1.0","1","","Probe","1100","465","4","146"
"","null","html-keyboard-response","8","31144","0.0-3.0-0.1","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2601","name-keyboard-response","9","33754","0.0-3.0-1.1","2","","Probe","1107","232","1","12"
"","null","html-keyboard-response","10","34755","0.0-3.0-0.2","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2048","name-keyboard-response","11","36810","0.0-3.0-1.2","3","","Probe","1062","295","2","97"
"","null","html-keyboard-response","12","37812","0.0-3.0-0.3","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1886","name-keyboard-response","13","39700","0.0-3.0-1.3","4","","Probe","1055","303","2","92"
"","null","html-keyboard-response","14","40702","0.0-3.0-0.4","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2449","name-keyboard-response","15","43154","0.0-3.0-1.4","","","Probe","1080","622","6","121"
"","null","html-keyboard-response","16","44155","0.0-3.0-0.5","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2662","name-keyboard-response","17","46824","0.0-3.0-1.5","","","Probe","1068","154","0","40"
"","null","html-keyboard-response","18","47825","0.0-3.0-0.6","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2705","name-keyboard-response","19","50537","0.0-3.0-1.6","","","Probe","1063","223","1","174"
"","null","html-keyboard-response","20","51538","0.0-3.0-0.7","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1636","name-keyboard-response","21","53178","0.0-3.0-1.7","","","Probe","1062","223","1","16"
"","null","html-keyboard-response","22","54179","0.0-3.0-0.8","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1751","name-keyboard-response","23","55936","0.0-3.0-1.8","","","Probe","1051","128","0","54"
"","null","html-keyboard-response","24","56937","0.0-3.0-0.9","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3807","name-keyboard-response","25","60750","0.0-3.0-1.9","","","Probe","1044","216","1","175"
"","null","html-keyboard-response","26","61754","0.0-3.0-0.10","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2231","name-keyboard-response","27","63990","0.0-3.0-1.10","","","Probe","1079","566","5","165"
"","null","html-keyboard-response","28","64991","0.0-3.0-0.11","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2020","name-keyboard-response","29","67016","0.0-3.0-1.11","","","Probe","1065","473","4","152"
"","null","html-keyboard-response","30","68018","0.0-3.0-0.12","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2389","name-keyboard-response","31","70413","0.0-3.0-1.12","","","Probe","1063","216","1","4"
"","null","html-keyboard-response","32","71415","0.0-3.0-0.13","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2096","name-keyboard-response","33","73518","0.0-3.0-1.13","","","Probe","1080","309","2","101"
"","null","html-keyboard-response","34","74519","0.0-3.0-0.14","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1919","name-keyboard-response","35","76445","0.0-3.0-1.14","","","Probe","1080","633","6","129"
"","null","html-keyboard-response","36","77446","0.0-3.0-0.15","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3784","name-keyboard-response","37","81236","0.0-3.0-1.15","","","Probe","1050","376","3","64"
"","null","html-keyboard-response","38","82236","0.0-3.0-0.16","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2043","name-keyboard-response","39","84283","0.0-3.0-1.16","","","Probe","1074","324","2","116"
"","null","html-keyboard-response","40","85284","0.0-3.0-0.17","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1459","name-keyboard-response","41","86746","0.0-3.0-1.17","","","Probe","1072","303","2","103"
"","null","html-keyboard-response","42","87747","0.0-3.0-0.18","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1502","name-keyboard-response","43","89255","0.0-3.0-1.18","","","Probe","1036","296","2","95"
"","null","html-keyboard-response","44","90256","0.0-3.0-0.19","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6859","name-keyboard-response","45","97123","0.0-3.0-1.19","","","Probe","1034","147","0","35"
"","null","html-keyboard-response","46","98124","0.0-3.0-0.20","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2285","name-keyboard-response","47","100418","0.0-3.0-1.20","","","Probe","1096","642","6","131"
"","null","html-keyboard-response","48","101419","0.0-3.0-0.21","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1737","name-keyboard-response","49","103160","0.0-3.0-1.21","","","Probe","1053","452","4","143"
"","null","html-keyboard-response","50","104162","0.0-3.0-0.22","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","5302","name-keyboard-response","51","109470","0.0-3.0-1.22","","","Probe","1052","452","4","135"
"","null","html-keyboard-response","52","110471","0.0-3.0-0.23","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2076","name-keyboard-response","53","112554","0.0-3.0-1.23","","","Probe","1068","234","1","178"
"","null","html-keyboard-response","54","113554","0.0-3.0-0.24","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3676","name-keyboard-response","55","117240","0.0-3.0-1.24","","","Probe","1045","608","6","133"
"","null","html-keyboard-response","56","118242","0.0-3.0-0.25","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1753","name-keyboard-response","57","120005","0.0-3.0-1.25","","","Probe","1036","290","2","102"
"","null","html-keyboard-response","58","121007","0.0-3.0-0.26","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2141","name-keyboard-response","59","123152","0.0-3.0-1.26","","","Probe","1084","382","3","78"
"","null","html-keyboard-response","60","124153","0.0-3.0-0.27","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1758","name-keyboard-response","61","125919","0.0-3.0-1.27","","","Probe","1100","131","0","58"
"","null","html-keyboard-response","62","126921","0.0-3.0-0.28","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2708","name-keyboard-response","63","129635","0.0-3.0-1.28","","","Probe","1044","453","4","148"
"","null","html-keyboard-response","64","130636","0.0-3.0-0.29","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2424","name-keyboard-response","65","133064","0.0-3.0-1.29","","","Probe","1016","232","1","20"
"","null","html-keyboard-response","66","134066","0.0-3.0-0.30","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3679","name-keyboard-response","67","137757","0.0-3.0-1.30","","","Probe","1048","236","1","177"
"","null","html-keyboard-response","68","138759","0.0-3.0-0.31","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1971","name-keyboard-response","69","140734","0.0-3.0-1.31","","","Probe","1050","297","2","90"
"","null","html-keyboard-response","70","141736","0.0-3.0-0.32","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6679","name-keyboard-response","71","148423","0.0-3.0-1.32","","","Probe","1070","211","1","27"
"","null","html-keyboard-response","72","149424","0.0-3.0-0.33","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2169","name-keyboard-response","73","151605","0.0-3.0-1.33","","","Probe","1082","542","5","168"
"","null","html-keyboard-response","74","152607","0.0-3.0-0.34","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2084","name-keyboard-response","75","154697","0.0-3.0-1.34","","","Probe","1044","317","2","107"
"","null","html-keyboard-response","76","155699","0.0-3.0-0.35","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1535","name-keyboard-response","77","157237","0.0-3.0-1.35","","","Probe","1068","298","2","110"
"","null","html-keyboard-response","78","158238","0.0-3.0-0.36","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1470","name-keyboard-response","79","159712","0.0-3.0-1.36","","","Probe","1057","306","2","100"
"","null","html-keyboard-response","80","160713","0.0-3.0-0.37","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
