"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"[{""page_index"":0,""viewing_time"":917633}]","917634","instructions","0","917634","0.0-0.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3792}]","3792","instructions","1","921426","0.0-1.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","2","922428","0.0-2.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","3","924431","0.0-2.0-1.0","1","null","","138,91,19","181.26155740732997,-44.990210868773055,114.71528727020922","84.52365234813989,-194.87401295704703,-163.83040885779835","encoding","","","","","","","","","",""
"","null","html-keyboard-response","4","924533","0.0-2.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","mask-keyboard-response","5","924537","0.0-2.0-3.0","1","null","","138,91,19","181.26155740732997,-44.990210868773055,114.71528727020922","84.52365234813989,-194.87401295704703,-163.83040885779835","backward_mask","","","","","","","","","",""
"","null","html-keyboard-response","6","926238","0.0-2.0-4.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","1451","continuous_report","7","927693","0.0-2.0-5.0","1","","","138,91,19","181.26155740732997,-44.990210868773055,114.71528727020922","84.52365234813989,-194.87401295704703,-163.83040885779835","Probe","","null","876","661","246,66,103","116","-22","228,91,57","138","0"
"[{""page_index"":0,""viewing_time"":2124}]","2124","instructions","8","929817","0.0-3.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","930818","0.0-4.0-0.0","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"","null","snap-keyboard-response","10","930919","0.0-4.0-1.0","1","null","","48,98,29","48.384379119933485,182.70909152852016,-34.72963553338606","-194.05914525519933,81.34732861516002,196.9615506024416","encoding","","","","","","","","","",""
"","null","html-keyboard-response","11","931221","0.0-4.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","12","932422","0.0-4.0-3.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","836","continuous_report","13","933260","0.0-4.0-4.0","1","","","48,98,29","48.384379119933485,182.70909152852016,-34.72963553338606","-194.05914525519933,81.34732861516002,196.9615506024416","Probe","","null","845","502","166,123,41","166","118","51,132,174","48","0"
"[{""page_index"":0,""viewing_time"":3352}]","3352","instructions","14","936612","0.0-5.0","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1451}]","1451","instructions","15","938063","0.0-6.0","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","939064","0.0-7.0-0.0","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","17","939167","0.0-7.0-1.0","1","null","","125,13,45","-74.92131868318246,141.42135623730948,-3.490481287456695","-185.43677091335746,-141.42135623730954,199.96953903127826","encoding","","","","","","","","","",""
"","null","html-keyboard-response","18","939468","0.0-7.0-2.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","19","940670","0.0-7.0-3.0","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","8574","continuous_report","20","949245","0.0-7.0-4.0","1","","","125,13,45","-74.92131868318246,141.42135623730948,-3.490481287456695","-185.43677091335746,-141.42135623730954,199.96953903127826","Probe","","null","569","369","91,138,100","16","3","99,137,93","13","1"
"","null","html-keyboard-response","21","950247","0.0-7.0-0.1","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","22","950349","0.0-7.0-1.1","2","null","","152,49,112","90.79809994790932,161.80339887498948,-182.70909152852022","-178.2013048376736,117.55705045849463,-81.34732861515997","encoding","","","","","","","","","",""
"","null","html-keyboard-response","23","950651","0.0-7.0-2.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","24","951852","0.0-7.0-3.1","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","1993","continuous_report","25","953846","0.0-7.0-4.1","2","","","152,49,112","90.79809994790932,161.80339887498948,-182.70909152852022","-178.2013048376736,117.55705045849463,-81.34732861515997","Probe","","null","633","320","195,111,37","154","2","200,109,38","152","0"
"","null","html-keyboard-response","26","954848","0.0-7.0-0.2","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","27","954950","0.0-7.0-1.2","3","null","","56,169,135","-193.18516525781365,48.384379119933485,187.9385241571817","51.763809020504205,-194.05914525519933,-68.40402866513371","encoding","","","","","","","","","",""
"","null","html-keyboard-response","28","955252","0.0-7.0-2.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","29","956453","0.0-7.0-3.2","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","5278","continuous_report","30","961733","0.0-7.0-4.2","3","","","56,169,135","-193.18516525781365,48.384379119933485,187.9385241571817","51.763809020504205,-194.05914525519933,-68.40402866513371","Probe","","null","785","219","245,65,113","112","-23","233,87,63","135","2"
"","null","html-keyboard-response","31","962734","0.0-7.0-0.3","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","32","962836","0.0-7.0-1.3","4","null","","40,164,141","165.80751451100832,100,-74.92131868318242","111.83858069414939,-173.20508075688772,185.4367709133575","encoding","","","","","","","","","",""
"","null","html-keyboard-response","33","963137","0.0-7.0-2.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","34","964339","0.0-7.0-3.3","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","5437","continuous_report","35","969778","0.0-7.0-4.3","4","","","40,164,141","165.80751451100832,100,-74.92131868318242","111.83858069414939,-173.20508075688772,185.4367709133575","Probe","","null","879","614","35,134,167","44","4","23,135,159","40","0"
"","null","html-keyboard-response","36","970779","0.0-7.0-0.4","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","37","970881","0.0-7.0-1.4","","null","","5,160,78","-194.87401295704706,-131.21180579810155,24.37386868102954","44.99021086877295,-150.94191604455435,-198.5092303282644","encoding","","","","","","","","","",""
"","null","html-keyboard-response","38","971182","0.0-7.0-2.4","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","39","972384","0.0-7.0-3.4","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3140","continuous_report","40","975525","0.0-7.0-4.4","","","","5,160,78","-194.87401295704706,-131.21180579810155,24.37386868102954","44.99021086877295,-150.94191604455435,-198.5092303282644","Probe","","null","786","456","101,137,90","12","7","119,135,74","5","0"
"","null","html-keyboard-response","41","976526","0.0-7.0-0.5","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","42","976627","0.0-7.0-1.5","","null","","47,154,88","-55.127471163399775,-196.96155060244163,-87.6742293578155","-192.2523391876638,34.72963553338605,179.75880925983338","encoding","","","","","","","","","",""
"","null","html-keyboard-response","43","976928","0.0-7.0-2.5","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","44","978130","0.0-7.0-3.5","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","4380","continuous_report","45","982511","0.0-7.0-4.5","","","","47,154,88","-55.127471163399775,-196.96155060244163,-87.6742293578155","-192.2523391876638,34.72963553338605,179.75880925983338","Probe","","null","637","490","230,89,59","137","-17","195,111,37","154","1"
"","null","html-keyboard-response","46","983513","0.0-7.0-0.6","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","47","983615","0.0-7.0-1.6","","null","","89,20,132","198.05361374831406,17.431148549531578,-125.86407820996746","-27.834620192013176,-199.23893961834912,155.42919229139423","encoding","","","","","","","","","",""
"","null","html-keyboard-response","48","983916","0.0-7.0-2.6","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","49","985118","0.0-7.0-3.6","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","7751","continuous_report","50","992873","0.0-7.0-4.6","","","","89,20,132","198.05361374831406,17.431148549531578,-125.86407820996746","-27.834620192013176,-199.23893961834912,155.42919229139423","Probe","","null","957","491","237,69,132","104","15","205,87,166","89","0"
"","null","html-keyboard-response","51","993874","0.0-7.0-0.7","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
